id	Q27	Q28	Q29_SQ01	Q29_SQ02	Q29_SQ03	Q30	Q31	Q38
8233	Easy to use. Adaptability. Really easy to manipulate data.	Handling the dependencies between packages and R core.	Y	U	U	{question_not_shown}	{question_not_shown}	NA
7	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
8	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
10	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
11	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
12	NA	NA	Y	Y	U	NA	NA	NA
13	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
14	I know its an unpopular opinion, but I think the language is very readable (vs a full class-based OO language with methods to do everything). The community should not be discounted as a highly valuable aspect of the language.	Poorly constructed base functions which have not been updated simply because they would break compatibility with S. This may only be resolved through a python-esque 2.0 vs 3.0 fork, but I feel it need to happen at some point.	Y	Y	Y	Grant support for local Meetup.	Funding of projects serves the community as a whole and should continue.	NA
15	many packages.{cr}{newline}functions basically cover the functions required for data analysis.	Slow data,{cr}{newline}inconsistent command styles, {cr}{newline}and large numbers of functions reserved for unnecessary compatibility	Y	Y	Y	Integration of community power, focused on solving some major problems, to promote the development of R, such as covr, DBI	Integrate community resources, speed up the optimization of R language, especially clean up some legacy code, and make the command style consistent as much as possible	NA
16	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
17	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
18	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
19	Extensibility, community	Knowing the documentation is mostly accessible for a English speakers	Y	Y	Y	NA	NA	The survey was great except the map pinning ;-)
23	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
21	ggplot2	Interfaces to spark pretty much suck.	Y	Y	U	NA	NA	NA
22	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
24	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
25	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
26	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
27	NA	NA	Y	Y	Y	R-hub	NA	{question_not_shown}
28	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
29	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
34	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
30	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
31	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
32	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
33	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
35	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
36	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
37	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
38	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
39	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
40	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
41	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
42	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
43	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
44	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
45	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
46	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
47	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
48	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
49	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
50	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
51	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
52	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
53	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
54	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
55	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
56	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
57	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
58	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
59	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
60	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
61	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
62	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
63	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
64	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
65	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
66	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
67	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
68	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
69	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
70	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
71	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
72	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
73	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
74	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
75	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
